Impact,LCI_Membrane,Steel,Steel_and_Casting,PVC_and_Extrusion,PVE_and_Extrusion,PC_and_Extrusion,Nylon_6,Nylon_6_and_Extrusion,Aluminum_and_Casting,Clay,E_Connector,Electronic_Active,Electronic_Passive,Electronic_Controls,Fiberglass,Foam,PS,Glass_Nylon_LED,LCI_Cable,LCI_Motor,LCI_Pump,LCI_Switch,LCI_Transformer,LED,PP,PP_and_Extrusion,Titanium,Zinc,Nuclear_Electricity,Min_Hydro_Electricity,Max_Hydro_Electricity,Geothermal_Electricity,Min_Wind_Electricity,Mid_Wind_Electricity,Max_Wind_Electricity,Min_Solar_Electricity,Max_Solar_Electricity,Waste_Electricity,Coal_Electricity,Oil_Electricity,Min_Gas_Electricity,Mid_Gas_Electricity,Max_Gas_Electricity
Ozone,9.78E-07,3.17E-07,2.60E-06,5.82E-08,3.97E-08,4.22E-08,5.34E-09,4.38E-08,1.09958E-05,1.40E-08,1.04E-06,6.02E-05,9.34E-06,3.17E-06,1.83E-07,5.05E-08,2.45672E-06,1.41E-06,1.87E-06,2.15E-06,1.41E-06,2.99E-06,1.34E-06,2.81E-05,1.01E-09,3.94E-08,4.46E-07,3.15E-07,1.11E-07,5.57E-10,5.57E-10,4.84E-09,1.46E-09,1.77E-09,5.31E-09,1.61E-08,1.63E-08,4.64E-07,1.35E-08,2.28E-07,4.62E-08,6.43E-08,7.46E-08
GHG,10.73043251,4.648881684,32.86880427,2.595868611,2.458488051,8.311723173,7.329118161,7.857606909,117.030282,0.436778747,8.847460033,640.9497198,64.4857983,26.79636172,8.779946528,4.932492605,16.03471691,22.46897653,4.379021875,9.970347121,8.593704116,18.56098966,4.535300995,310.1262855,1.973949156,2.502437904,6.03509508,5.054710999,0.011860156,0.049873131,0.065094131,0.075101966,0.015347547,0.015545765,0.032336,0.070026114,0.083280638,0.414176282,1.046968281,0.9548412,0.440978053,0.612563077,0.699530099
Smog,0.520218131,0.305820969,1.902917142,0.143376134,0.112420581,0.332253157,0.383501963,0.415307495,7.137681172,0.023795347,0.606911683,57.79758969,6.653232481,2.322800119,0.362193476,0.251364884,0.806232472,1.493050432,0.581353097,0.691459103,0.704279363,2.655849056,0.520196451,22.57447133,0.081914783,0.113720315,0.645531304,0.546401091,0.000945695,0.000450499,0.000450499,0.003904655,0.000941516,0.001112785,0.002426213,0.004064149,0.00470972,0.027115062,0.085546678,0.078132541,0.006995016,0.01264404,0.038785043
Acid,0.070150671,0.028347494,0.198880023,0.009770013,0.010010301,0.027953586,0.028146878,0.031718229,0.743653675,0.002952964,0.082351629,4.950897824,0.730321504,0.232135091,0.032549484,0.020950191,0.074013851,0.139590905,0.156164236,0.108207344,0.114713664,0.255829245,0.111410016,2.257027418,0.006166406,0.009737758,0.071585984,0.061871282,6.54E-05,2.54E-05,2.54E-05,0.000362181,8.71E-05,9.01E-05,0.00028351,0.000453426,0.000517649,0.002912682,0.008957837,0.00764244,0.00127053,0.00185694,0.00282668
Eutro,0.033350157,0.016502721,0.147581157,0.003942319,0.003154769,0.005273482,0.005895158,0.008564501,1.032271591,0.001032335,0.109583346,25.91921661,2.163904512,0.782927932,0.014183196,0.010661284,0.055523549,0.117959967,0.318726883,0.161805082,0.178960617,1.79465117,0.212944634,2.247191328,0.000771534,0.003440876,0.048279155,0.043278845,0.000104285,1.44E-05,1.44E-05,0.000320075,9.14E-05,9.23E-05,0.000405204,0.000499659,0.0005572,0.001429628,0.005177756,0.00066562,8.06E-05,0.000136707,0.000173372
Carcin,3.92E-07,2.73E-06,4.83E-06,1.56E-07,8.58E-08,2.72E-07,2.78E-07,3.02E-07,1.54845E-05,1.42E-08,2.72E-06,0.000207265,1.95E-05,8.21E-06,3.22E-07,2.86E-07,5.70726E-07,1.25E-06,2.71E-06,2.92E-06,8.51E-06,1.52E-05,1.17E-05,1.98E-05,5.15E-08,7.53E-08,6.26E-07,4.28E-07,2.63E-09,1.24E-09,1.24E-09,1.11E-08,1.05E-08,8.96E-09,1.39E-08,9.30E-09,9.65E-09,6.18E-08,5.93E-08,5.89E-09,2.45E-09,3.65E-09,3.51E-09
NonCar,3.08E-06,2.50E-06,1.06E-05,3.87E-07,1.25E-07,9.78E-07,1.37E-07,2.30E-07,2.55827E-05,6.06E-08,2.09E-05,0.005441747,0.000456869,0.000164524,3.66E-07,4.62E-07,2.58025E-06,1.25E-05,7.69E-05,3.11E-05,4.42E-05,0.000412731,5.10E-05,0.000246751,2.80E-08,1.21E-07,6.20E-05,4.67E-05,2.75E-08,2.12E-09,2.12E-09,2.15E-08,1.98E-08,1.97E-08,9.24E-08,8.02E-08,8.10E-08,2.20E-07,2.04E-07,3.09E-08,1.08E-08,1.95E-08,1.58E-08
Resp,0.008156779,0.013694462,0.039815145,0.001004991,0.001057044,0.004446909,0.002669489,0.00322047,0.104712153,0.000382889,0.012873404,0.679745591,0.087641806,0.031573183,0.004368917,0.003822522,0.013160437,0.01918165,0.017797602,0.015721195,0.024604918,0.030167972,0.015278175,0.332912715,0.000467913,0.001018894,0.00826946,0.007189524,3.55E-05,9.22E-06,9.22E-06,0.000146797,2.85E-05,2.74E-05,6.12E-05,0.000115455,0.000145279,0.000458402,0.000807048,0.000526558,9.48E-05,0.000134811,0.000153496
EcoTox,94.78644201,98.19550676,725.2655163,11.98059003,6.661110225,17.01314933,16.10085413,19.10133667,1011.012316,1.32679231,491.7819615,131002.7578,10974.65884,3893.517269,23.47258028,21.03037257,95.41874603,331.5394057,1639.852747,713.7398934,973.4905075,9609.360006,1209.416229,6324.871884,3.13237018,6.132852716,253.052285,221.5162928,0.335914913,0.41286025,0.412860256,0.651652536,5.09134472,4.512903357,21.92129159,5.810336018,5.853287639,6.594814748,5.122759982,1.087663439,0.27373872,0.476140849,0.409017154
FFD,9.879768611,3.453101064,30.75015414,7.009603896,10.64751933,13.81005553,12.60276001,13.03864727,127.4722985,0.157584647,9.135425911,564.3110891,70.61346816,28.88737009,15.45103637,11.45338169,35.64512914,26.41592816,9.858690969,11.22983067,7.450249499,21.46318829,6.417682624,288.8661231,10.05880622,10.49469349,4.83683833,3.518452665,0.011760472,0.004939821,0.004939821,0.051314928,0.015757564,0.018846501,0.034281217,0.066305998,0.074939435,0.672702461,0.161660264,2.00956196,1.14509076,1.588088253,1.852657526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
